model,k,em,f1,recall,total_time,avg_time_per_q
meta-llama/llama-3.1-8b-instruct,8,0.5625,0.7084504780933353,0.8392857142857143,188.09721398353577,1.6794394105672836
meta-llama/llama-3.1-8b-instruct,9,0.5446428571428571,0.7035185053042196,0.8392857142857143,201.48283529281616,1.7989538865430015
meta-llama/llama-3.1-8b-instruct,10,0.5267857142857143,0.6938674362518901,0.8392857142857143,211.89241743087769,1.891896584204265
meta-llama/llama-3.1-8b-instruct,11,0.5267857142857143,0.6871655130583701,0.8392857142857143,232.51067066192627,2.075988130910056
meta-llama/llama-3.1-8b-instruct,12,0.5267857142857143,0.685451998398427,0.8571428571428571,326.93092489242554,2.9190261151109422
